Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Course à pied"" (ms)"
14:45:00.000+02:00,15:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,12,63.50482317708333,876.7230988808475,9.0,9,,,,,1.36376413848849,1.499158825730942,0.7048349228886168,1222,,,,,846430,
16:00:00.000+02:00,16:15:00.000+02:00,4,42.87573151041667,183.03939320006413,,,,,,,0.9882919844027284,1.4356052476754544,0.6558890273693344,306,,,,,477470,
16:15:00.000+02:00,16:30:00.000+02:00,4,21.720121640625003,194.29453350465866,1.0,1,,,,,1.0079800034650854,1.367657490010966,0.3212686969108962,277,,,,,99093,
16:30:00.000+02:00,16:45:00.000+02:00,2,26.094578229166665,190.74756626745608,1.0,1,,,,,0.6557387763414335,1.2877531338986958,0.47520562679133477,323,,,,,177332,
16:45:00.000+02:00,17:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,9,57.83221434895834,576.9405209264892,5.0,5,,,,,1.1614548137509961,1.3969872337681895,0.3097063342505946,825,,,,,744973,
17:30:00.000+02:00,17:45:00.000+02:00,,16.1796875,10.280598530003736,,,,,,,0.47874632252974464,0.47874632252974464,0.47874632252974464,32,,,,,,
