Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg)
14:45:00.000+02:00,15:00:00.000+02:00,12,16.1796875,806.8594211424469,6.0,6,,,,,1.1936137554239823,1.478501739697251,0.30612782035371416,1145,,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,16.1796875,5.825547558676029,,,,,,,0.3535596800628106,0.3535596800628106,0.3535596800628106,48,,,
18:15:00.000+02:00,18:30:00.000+02:00,2,16.1796875,77.06177808947909,,,,,,,0.3212686847308857,0.32126869540527087,0.3212686750350471,145,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.1796875,,,,,,,,,,,16,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.1796875,,,,,,,,,,,25,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.1796875,,,,,,,,,,,24,,,
19:15:00.000+02:00,19:30:00.000+02:00,2,16.1796875,86.10001268878129,,,,,,,0.7538576938508039,0.8097516897249195,0.5250296996096879,152,,,
19:30:00.000+02:00,19:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,4,16.1796875,170.2724131531869,,,,,,,0.48007226053655716,0.8555757764650247,0.2677239200521806,312,,,
20:00:00.000+02:00,20:15:00.000+02:00,,16.1796875,28.557063055849994,,,,,,,0.32126869936291463,0.32126869936291463,0.32126869936291463,44,,,
