Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Course à pied"" (ms)"
13:15:00.000+02:00,13:30:00.000+02:00,1,20.76295653913575,28.769698920882824,,,0.7514102160930634,1.0373716354370117,0.465448796749115,94,,,,80914,
13:30:00.000+02:00,13:45:00.000+02:00,8,89.30873131794151,318.44160175323486,,,0.8351043543720218,1.1659501791000366,0.3237506151199341,494,,,,272519,452693
13:45:00.000+02:00,14:00:00.000+02:00,5,16.244790289029435,204.79208496797602,,,0.7661853726375324,1.239678978919983,0.3237505853176117,326,,,,,
14:00:00.000+02:00,14:15:00.000+02:00,5,33.01184946046282,184.59511619885987,,,0.37648089848568594,1.1577848196029663,0.2697921693325043,311,,,,300275,
14:15:00.000+02:00,14:30:00.000+02:00,3,48.964172965596205,198.64948406151188,1.0,1,0.8554452745483493,1.360899567604065,0.3237506151199341,302,,,,585958,
14:30:00.000+02:00,14:45:00.000+02:00,,16.244790949699997,,,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,16.244790949699997,,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.244790949699997,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,2,16.244791298457912,46.620086669921875,,,0.3237505555152893,0.3237505555152893,0.3237505555152893,72,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.24479161997976,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.24479161997976,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,11,43.845152913506595,619.9595456611735,4.0,4,1.0396748851605753,1.3039507865905762,0.3237505853176117,902,,,,494284,
16:15:00.000+02:00,16:30:00.000+02:00,6,38.44898695976319,275.38317799991046,,,0.6982117466852747,1.1158164739608765,0.3073028028011322,459,,,,397646,
16:30:00.000+02:00,16:45:00.000+02:00,9,42.339303717614214,398.4307634299805,,,0.5532437563997397,0.9534147381782532,0.2504741847515106,633,,,,467316,
16:45:00.000+02:00,17:00:00.000+02:00,,16.244791356832092,13.148480415344238,,,0.9558631777763367,0.9558631777763367,0.9558631777763367,65,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,2,26.719149003324628,80.86069440841675,,,0.657660037279129,0.9817249178886414,0.3335951566696167,140,,,,187581,
17:15:00.000+02:00,17:30:00.000+02:00,3,23.761530004234583,105.62670135498047,,,1.3194641470909119,2.3134515285491943,0.3254767656326294,135,,,,,58824
17:30:00.000+02:00,17:45:00.000+02:00,,16.244791279325163,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,16.244792245582197,,,,,,,,,,,,
