Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Marche à pied"" (ms)"
13:15:00.000+02:00,13:30:00.000+02:00,,16.24479217664566,,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,,16.24479217664566,,,,,,,,,,,
13:45:00.000+02:00,14:00:00.000+02:00,,16.24479217664566,,,,,,,,,,,
14:00:00.000+02:00,14:15:00.000+02:00,,16.24479217664566,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,,16.24479217664566,,,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,,16.24479217664566,,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,16.24479217664566,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.24479217664566,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.24479217664566,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.24479217664566,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.24479217664566,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,16.24479217664566,,,,,,,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,16.24479217664566,36.907569885253906,,,0.2913755476474762,0.3237506151199341,0.2590004801750183,78,,,,
16:30:00.000+02:00,16:45:00.000+02:00,3,35.55156000892275,291.92388343811035,3.0,3,0.8400102993559203,1.6944836378097534,0.2913755178451538,458,,,,345757
16:45:00.000+02:00,17:00:00.000+02:00,1,16.244791727665465,40.79257774353027,,,0.3827522248029709,0.4417538642883301,0.3237505853176117,86,,,,
17:00:00.000+02:00,17:15:00.000+02:00,14,53.87728705640572,752.832413172678,7.0,7,0.9926433131002884,1.2866052389144897,0.3237505853176117,1086,,,,673945
17:15:00.000+02:00,17:30:00.000+02:00,1,16.244791468559548,29.757485890432307,,,0.4469687044620514,0.4469687044620514,0.4469687044620514,46,,,,
17:30:00.000+02:00,17:45:00.000+02:00,13,58.25951591698649,1035.5887185120453,12.0,12,1.3353937526590385,1.7367956638336182,0.47815626859664917,1426,,,,752425
17:45:00.000+02:00,18:00:00.000+02:00,15,59.1695450349942,967.6189988146523,11.0,11,1.1446032122524181,1.3795428276062012,0.44704607129096985,1384,,,,768722
18:00:00.000+02:00,18:15:00.000+02:00,4,21.674655884487862,180.768175217095,,,0.438301788998709,1.235066533088684,0.272651731967926,330,,,,97242
18:15:00.000+02:00,18:30:00.000+02:00,,16.244791223645326,13.361631084754478,,,0.3237506151199341,0.3237506151199341,0.3237506151199341,21,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.244791223645326,58.51100571028947,,,0.33298098998635023,0.3750588595867157,0.3237505853176117,137,,,,
18:45:00.000+02:00,19:00:00.000+02:00,4,16.244791223645326,181.59341003671392,,,0.34605130027607955,0.8030616044998169,0.2590004801750183,311,,,,
19:00:00.000+02:00,19:15:00.000+02:00,13,61.209598691775625,891.8870896906167,7.0,7,1.0700205467358541,1.510419487953186,0.28058382868766785,1271,,,,805258
19:15:00.000+02:00,19:30:00.000+02:00,8,41.733283128073225,490.63430311004123,3.0,3,0.9371163941710269,1.5708651542663574,0.2590004801750183,733,,,,456463
19:30:00.000+02:00,19:45:00.000+02:00,12,53.35759194522571,816.6712542583141,6.0,6,1.1978735475932898,1.4740197658538818,0.3237505853176117,1156,,,,664638
19:45:00.000+02:00,20:00:00.000+02:00,4,27.162176008347842,288.38295235141186,3.0,3,1.352161931891957,1.5275654792785645,0.5765937566757202,396,,,,195515
20:00:00.000+02:00,20:15:00.000+02:00,,16.244790458140617,,,,,,,22,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,16.244790458140617,,,,,,,29,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,16.244790458140617,1.9425036907196045,,,,,,15,,,,
20:45:00.000+02:00,21:00:00.000+02:00,14,61.60189501040211,741.0396627399005,4.0,4,0.9266113683263256,1.5944350957870483,0.3237505853176117,1080,,,,812282
21:00:00.000+02:00,21:15:00.000+02:00,15,66.49999606162038,717.7390003671139,,,0.8016600070586974,1.1550021171569824,0.5605900883674622,1097,,,,900000
21:15:00.000+02:00,21:30:00.000+02:00,12,58.842222691991324,671.2517028368943,4.0,3,0.9668112132049579,1.9050918817520142,0.4131466746330261,950,,,,762860
21:30:00.000+02:00,21:45:00.000+02:00,,16.24479205305125,12.302523612976074,,,0.3921099603176117,0.3921099603176117,0.3921099603176117,60,,,,
21:45:00.000+02:00,22:00:00.000+02:00,1,16.24479205305125,23.95754623413086,,,0.4661461412906647,0.4661461412906647,0.4661461412906647,48,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.24479205305125,8.417515754699707,,,0.28238561749458313,0.28238561749458313,0.28238561749458313,30,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.24479205305125,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.24479205305125,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.24479205305125,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,2,16.24479205305125,51.80009937286377,,,0.43097128576226673,0.5155792236328125,0.3237506151199341,80,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,16.24479205305125,,,,,,,6,,,,
23:30:00.000+02:00,23:45:00.000+02:00,1,16.24479205305125,26.547550201416016,,,0.3237506151199341,0.3237506151199341,0.3237506151199341,41,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.24479205305125,,,,,,,,,,,
