Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Course à pied"" (ms)"
14:00:00.000+02:00,14:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,4,33.03339875868056,21.84627187625794,4.0,4,50.642555236816406,5.5730509757995605,50.642555236816406,5.5730509757995605,0.32126869438675965,0.32126869438675965,0.32126869438675965,34,,,,281833,,
14:45:00.000+02:00,15:00:00.000+02:00,2,25.05381982638889,,2.0,2,,,,,,,,,,,,148396,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,3,25.28543608537578,194.4154826486961,1.0,1,,,,,0.8977388904304796,1.2260176971773666,0.5149683771768991,321,,,,,162861,
16:15:00.000+02:00,16:30:00.000+02:00,11,60.34033576585705,200.27317935900942,9.0,9,50.64079666137695,5.582516193389893,50.6408805847168,5.5827250480651855,0.6491036665209697,1.3157279034372353,0.05434265509419291,273,,,,529511,223491,
16:30:00.000+02:00,16:45:00.000+02:00,1,51.52869161458334,,1.0,1,,,,,,,,,,,,77460,,240246
16:45:00.000+02:00,17:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,7,38.06538996915076,329.98525558277413,,,50.64390182495117,5.588372230529785,50.64422607421875,5.590500831604004,0.8035443231810463,1.6955177315119985,0.2501489594158731,416,,,,,391436,
17:45:00.000+02:00,18:00:00.000+02:00,10,47.99800385416667,402.8134785460172,1.0,1,50.644161224365234,5.590418338775635,50.64436721801758,5.59049654006958,0.7009020261974049,1.432587281605178,0.29985079045844226,617,,,,,569084,
18:00:00.000+02:00,18:15:00.000+02:00,1,16.1796875,50.976893421649706,,,,,,,0.40434555733438077,0.48742239795309994,0.3212687167156616,79,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.1796875,13.358812635366295,,,,,,,,,,21,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,3,16.1796875,88.80463525654584,,,,,,,0.42000224917570883,0.5650840709470291,0.3212686805641075,167,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,5,28.070627743055557,62.96866599627288,3.0,3,,,,,0.32126869399182667,0.32126869399182667,0.32126869399182667,98,,,,198844,,
20:45:00.000+02:00,21:00:00.000+02:00,15,69.99999999999999,,15.0,15,,,,,,,,,,,,900000,,
21:00:00.000+02:00,21:15:00.000+02:00,15,69.99999999999999,,15.0,15,,,,,,,,,,,,900000,,
21:15:00.000+02:00,21:30:00.000+02:00,15,69.99999999999999,,15.0,15,,,,,,,,,,,,900000,,
21:30:00.000+02:00,21:45:00.000+02:00,,17.44775386284722,,,,,,,,,,,,,,,21205,,
21:45:00.000+02:00,22:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
