Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg)
00:00:00.000+02:00,00:15:00.000+02:00,,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,,,,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,,,,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,,,,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,,,,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,,,,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,,,,,,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,,,,,,,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,,,,,,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,,,,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,,,,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,,,,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,,,,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,,,,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,,,,,,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,,,,,,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,,,,,,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,,,,,,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,,,,,,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,,,,,,,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,,,,,,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,,,,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,,5.021168231964111,,,,,,,0.3907288908958435,0.3907288908958435,0.3907288908958435,20,,,
08:00:00.000+02:00,08:15:00.000+02:00,8,,424.92832104954397,3.0,3,,,,,0.9855315491324879,1.382074236869812,0.2719799280166626,614,,,
08:15:00.000+02:00,08:30:00.000+02:00,9,,645.630400764336,7.0,7,,,,,1.048529635536807,1.4009727239608765,0.31382301449775696,909,,,
08:30:00.000+02:00,08:45:00.000+02:00,8,,391.6068389310936,3.0,3,,,,,0.9766784363138408,1.3196525573730469,0.31382301449775696,583,,,
08:45:00.000+02:00,09:00:00.000+02:00,4,,230.87842438342915,2.0,2,,,,,1.0922316637771,1.3637216091156006,0.46391561627388,334,,,
09:00:00.000+02:00,09:15:00.000+02:00,,,,,,,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,,,,,,,,,,,,16,,,
09:30:00.000+02:00,09:45:00.000+02:00,,,16.946443557739258,,,,,,,0.282440721988678,0.282440721988678,0.282440721988678,35,,,
09:45:00.000+02:00,10:00:00.000+02:00,,,8.413716316223145,,,,,,,,,,23,,,
10:00:00.000+02:00,10:15:00.000+02:00,,,,,,,,,,,,,6,,,
10:15:00.000+02:00,10:30:00.000+02:00,,,,,,,,,,,,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,,,,,,,,,,,,,,,,
10:45:00.000+02:00,11:00:00.000+02:00,,,,,,,,,,,,,,,,
11:00:00.000+02:00,11:15:00.000+02:00,,,,,,,,,,,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,,,,,,,,,,,,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,,,,,,,,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,,,,,,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,,,,,,,,,,,,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,,,,,,,,,,,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,,,,,,,,,,,,2,,,
12:45:00.000+02:00,13:00:00.000+02:00,,,5.828307628631592,,,,,,,,,,23,,,
13:00:00.000+02:00,13:15:00.000+02:00,,,,,,,,,,,,,13,,,
13:15:00.000+02:00,13:30:00.000+02:00,,,,,,,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,,,,,,,,,,,,,34,,,
13:45:00.000+02:00,14:00:00.000+02:00,,,,,,,,,,,,,,,,
14:00:00.000+02:00,14:15:00.000+02:00,,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,,,,,,,,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,,,,,,,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,,,,,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,,,,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,3,,107.64094760560359,,,,,,,0.6254559587781722,1.1113722324371338,0.4696744680404663,205,,,
15:45:00.000+02:00,16:00:00.000+02:00,15,,1099.4025408730809,10.0,10,,,,,1.242077616877617,1.487152338027954,0.6952775716781616,1567,,,
16:00:00.000+02:00,16:15:00.000+02:00,6,,293.75759890077126,1.0,1,,,,,0.8957707503414051,1.3744879961013794,0.26757577061653137,430,,,
16:15:00.000+02:00,16:30:00.000+02:00,,,,,,,,,,,,,27,,,
16:30:00.000+02:00,16:45:00.000+02:00,,,,,,,,,,,,,17,,,
16:45:00.000+02:00,17:00:00.000+02:00,,,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,,20.084672927856445,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,47,,,
17:15:00.000+02:00,17:30:00.000+02:00,,,16.946443557739258,,,,,,,0.282440721988678,0.282440721988678,0.282440721988678,46,,,
17:30:00.000+02:00,17:45:00.000+02:00,,,,,,,,,,,,,30,,,
17:45:00.000+02:00,18:00:00.000+02:00,,,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,,,,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,,,,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,,7.570549964904785,,,,,,,,,,22,,,
18:45:00.000+02:00,19:00:00.000+02:00,9,,557.6564988330213,6.0,6,,,,,1.2152605229774995,1.4944865703582764,0.31382301449775696,802,,,
19:00:00.000+02:00,19:15:00.000+02:00,15,,1222.280091207255,14.0,14,,,,,1.3656596037207553,1.4479026794433594,0.5119487047195435,1695,,,
19:15:00.000+02:00,19:30:00.000+02:00,14,,1156.709108507087,14.0,14,,,,,1.394509354193225,1.47322416305542,1.3184597492218018,1617,,,
19:30:00.000+02:00,19:45:00.000+02:00,,,,,,,,,,,,,6,,,
19:45:00.000+02:00,20:00:00.000+02:00,12,,737.9017178549157,6.0,6,,,,,1.1472502347025189,1.4575071334838867,0.31382301449775696,1060,,,
20:00:00.000+02:00,20:15:00.000+02:00,1,,36.68089084488294,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,58,,,
20:15:00.000+02:00,20:30:00.000+02:00,1,,24.478195190429688,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,39,,,
20:30:00.000+02:00,20:45:00.000+02:00,,,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,,,,,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,,,,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,,,,,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,,,,,,,,,,,,,,,
